http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/8338132,Lenzie Academy,85,85,86,87,81,84,76
http://statistics.gov.scot/id/education/establishment/5222133,Mintlaw Academy,67,66,61,62,70,73,76
http://statistics.gov.scot/id/education/establishment/5258030,Portlethen Academy,74,74,64,78,77,70,76
http://statistics.gov.scot/id/education/establishment/8517436,St Aidan's High School,65,63,67,66,70,71,76
http://statistics.gov.scot/id/education/establishment/5545838,Dalkeith High School,57,64,62,70,73,63,75
http://statistics.gov.scot/id/education/establishment/5745438,Denny High School,54,64,72,63,60,74,75
http://statistics.gov.scot/id/education/establishment/5231639,Inverurie Academy,62,75,75,75,79,78,75
http://statistics.gov.scot/id/education/establishment/8628734,Paisley Grammar School,71,58,76,76,76,83,75
http://statistics.gov.scot/id/education/establishment/5350832,Perth Grammar School,58,59,59,68,71,64,75
http://statistics.gov.scot/id/education/establishment/8505632,Caldervale High School,56,63,61,63,61,73,74
http://statistics.gov.scot/id/education/establishment/5918138,Dalbeattie High School,83,92,74,67,87,77,74
http://statistics.gov.scot/id/education/establishment/5231132,Ellon Academy,79,79,81,84,86,80,74
http://statistics.gov.scot/id/education/establishment/5746132,Graeme High School,69,72,80,80,73,77,74
http://statistics.gov.scot/id/education/establishment/5233038,Kemnay Academy,67,66,73,76,70,81,74
http://statistics.gov.scot/id/education/establishment/8358532,Kilsyth Academy,65,67,69,71,64,65,74
http://statistics.gov.scot/id/education/establishment/8435138,King's Park Secondary School,73,65,74,70,71,78,74
http://statistics.gov.scot/id/education/establishment/5555930,Knox Academy,74,75,69,74,73,76,74
http://statistics.gov.scot/id/education/establishment/8436134,Notre Dame High School,63,74,70,68,82,76,74
http://statistics.gov.scot/id/education/establishment/8629439,St Andrew's Academy,78,76,80,80,79,78,74
http://statistics.gov.scot/id/education/establishment/8524939,St John Ogilvie High School,60,61,55,67,63,69,74
http://statistics.gov.scot/id/education/establishment/8224633,St Joseph's Academy,63,63,72,64,64,65,74
http://statistics.gov.scot/id/education/establishment/8210039,St Matthew's Academy,66,64,67,68,60,77,74
http://statistics.gov.scot/id/education/establishment/8358931,St Maurice's High School,65,70,72,75,67,79,74
http://statistics.gov.scot/id/education/establishment/5150132,Grantown Grammar School,68,67,59,45,52,62,73
http://statistics.gov.scot/id/education/establishment/5243432,Hazlehead Academy,59,54,52,49,65,66,73
http://statistics.gov.scot/id/education/establishment/5142938,Inverness Royal Academy,65,57,66,65,67,64,73
http://statistics.gov.scot/id/education/establishment/5208939,Speyside High School,57,65,60,68,82,73,73
http://statistics.gov.scot/id/education/establishment/8626138,St Luke's High School,81,74,75,69,70,90,73
http://statistics.gov.scot/id/education/establishment/5726336,St Modan's High School,52,64,74,70,69,69,73
http://statistics.gov.scot/id/education/establishment/5726239,Stirling High School,71,64,76,76,71,77,73
http://statistics.gov.scot/id/education/establishment/8458634,Stonelaw High School,64,70,63,68,74,71,73
http://statistics.gov.scot/id/education/establishment/5235634,Bridge Of Don Academy,69,68,69,69,78,67,72
http://statistics.gov.scot/id/education/establishment/5531632,Broughton High School,54,64,65,64,71,67,72
http://statistics.gov.scot/id/education/establishment/5143837,Charleston Academy,63,56,65,64,81,70,72
http://statistics.gov.scot/id/education/establishment/8342334,Chryston High School,42,63,47,64,66,64,72
http://statistics.gov.scot/id/education/establishment/5532639,Firrhill High School,71,73,70,71,78,74,72
http://statistics.gov.scot/id/education/establishment/5109531,Golspie High School,66,60,68,65,81,77,72
http://statistics.gov.scot/id/education/establishment/5746639,Grangemouth High School,62,47,69,72,72,78,72
http://statistics.gov.scot/id/education/establishment/8357331,Greenfaulds High School,69,68,72,64,70,77,72
http://statistics.gov.scot/id/education/establishment/8215030,Greenwood Academy,65,64,65,63,78,74,72
http://statistics.gov.scot/id/education/establishment/5251931,Mackie Academy,80,74,85,75,77,78,72
http://statistics.gov.scot/id/education/establishment/8237832,Marr College,78,76,75,79,77,79,72
http://statistics.gov.scot/id/education/establishment/8110336,Oban High School,63,84,66,72,72,67,72
http://statistics.gov.scot/id/education/establishment/5351030,Perth High School,70,60,68,70,71,69,72
http://statistics.gov.scot/id/education/establishment/5619831,Selkirk High School,64,67,65,65,58,71,72
http://statistics.gov.scot/id/education/establishment/8620032,St Benedict's High School,62,71,54,69,69,69,72
http://statistics.gov.scot/id/education/establishment/6003532,Stromness Academy,79,77,70,72,72,81,72
http://statistics.gov.scot/id/education/establishment/5726530,Wallace High School,59,66,71,71,75,71,72
http://statistics.gov.scot/id/education/establishment/5726131,Bannockburn High School,63,62,60,59,65,72,71
http://statistics.gov.scot/id/education/establishment/5510031,Broxburn Academy,62,52,70,58,54,71,71
http://statistics.gov.scot/id/education/establishment/8549931,Carluke High School,68,79,69,76,66,76,71
http://statistics.gov.scot/id/education/establishment/8110239,Dunoon Grammar School,66,64,69,69,66,63,71
http://statistics.gov.scot/id/education/establishment/5745632,Falkirk High School,54,59,65,62,73,80,71
http://statistics.gov.scot/id/education/establishment/5329434,Grove Academy,63,70,75,80,73,83,71
http://statistics.gov.scot/id/education/establishment/5632838,Kelso High School,63,72,78,65,54,81,71
http://statistics.gov.scot/id/education/establishment/8337632,Kirkintilloch High School,58,61,73,80,80,82,71
http://statistics.gov.scot/id/education/establishment/5948630,Lockerbie Academy,64,59,57,54,49,74,71
http://statistics.gov.scot/id/education/establishment/5446538,St Columba's R C High School,62,63,75,74,72,75,71
http://statistics.gov.scot/id/education/establishment/5512131,The James Young High School,56,53,61,69,69,63,71
http://statistics.gov.scot/id/education/establishment/8216134,Auchenharvie Academy,55,49,67,*,70,76,70
http://statistics.gov.scot/id/education/establishment/5647339,Berwickshire High School,51,68,60,65,65,59,70
http://statistics.gov.scot/id/education/establishment/5939232,Dumfries High School,67,78,76,61,76,66,70
http://statistics.gov.scot/id/education/establishment/8533431,Duncanrig Secondary School,65,74,70,69,71,73,70
http://statistics.gov.scot/id/education/establishment/5446139,Dunfermline High School,65,73,68,74,73,73,70
http://statistics.gov.scot/id/education/establishment/5210038,Elgin High School,57,53,53,56,61,64,70
http://statistics.gov.scot/id/education/establishment/8236534,Girvan Academy,80,76,74,81,74,71,70
http://statistics.gov.scot/id/education/establishment/8224234,Grange Academy,67,67,67,63,66,71,70
http://statistics.gov.scot/id/education/establishment/5243238,Harlaw Academy,54,47,59,63,74,78,70
http://statistics.gov.scot/id/education/establishment/8524831,Holy Cross High School,65,62,68,73,72,73,70
http://statistics.gov.scot/id/education/establishment/8628130,Johnstone High School,65,71,66,51,57,77,70
http://statistics.gov.scot/id/education/establishment/8215839,Largs Academy,86,85,83,75,77,79,70
http://statistics.gov.scot/id/education/establishment/8550131,Lesmahagow High School,50,59,60,63,64,73,70
http://statistics.gov.scot/id/education/establishment/5203139,Lossiemouth High School,64,74,73,63,64,81,70
http://statistics.gov.scot/id/education/establishment/5330432,Morgan Academy,55,62,63,61,67,77,70
http://statistics.gov.scot/id/education/establishment/5246237,Oldmachar Academy,72,73,76,55,70,61,70
http://statistics.gov.scot/id/education/establishment/5123437,Plockton High School,76,62,75,74,84,83,70
http://statistics.gov.scot/id/education/establishment/8436932,Shawlands Academy,57,64,72,74,72,80,70
http://statistics.gov.scot/id/education/establishment/8632030,Trinity High School,62,79,75,75,76,83,70
http://statistics.gov.scot/id/education/establishment/5257530,Aboyne Academy,77,76,77,66,75,68,69
http://statistics.gov.scot/id/education/establishment/8549834,Biggar High School,62,61,70,61,65,70,69
http://statistics.gov.scot/id/education/establishment/8516839,Braidhurst High School,55,49,39,45,50,54,69
http://statistics.gov.scot/id/education/establishment/5208734,Buckie High School,47,45,56,61,47,64,69
http://statistics.gov.scot/id/education/establishment/5350336,Crieff High School,61,52,60,59,77,83,69
http://statistics.gov.scot/id/education/establishment/5109434,Dornoch Academy,57,86,77,67,*,72,69
http://statistics.gov.scot/id/education/establishment/8215634,Garnock Community Campus,69,65,77,71,69,73,69
http://statistics.gov.scot/id/education/establishment/5406730,Glenrothes High School,69,60,71,59,65,60,69
http://statistics.gov.scot/id/education/establishment/5329531,Harris Academy,75,64,53,64,73,76,69
http://statistics.gov.scot/id/education/establishment/8525234,Larkhall Academy,57,52,55,54,74,65,69
http://statistics.gov.scot/id/education/establishment/5533236,Leith Academy,56,58,48,60,66,67,69
http://statistics.gov.scot/id/education/establishment/8304238,Our Lady & St Patrick's High School,68,75,72,70,56,69,69
http://statistics.gov.scot/id/education/establishment/5220734,Peterhead Academy,60,73,72,58,66,69,69
http://statistics.gov.scot/id/education/establishment/5128234,Portree High School,64,68,65,54,80,68,69
http://statistics.gov.scot/id/education/establishment/8500037,St Andrew's High School,54,66,57,55,57,63,69
http://statistics.gov.scot/id/education/establishment/5307732,Webster's High School,78,88,75,75,72,72,69
http://statistics.gov.scot/id/education/establishment/5502330,West Calder High School,65,62,57,64,80,75,69
http://statistics.gov.scot/id/education/establishment/5446430,Woodmill High School,50,54,63,74,72,72,69
http://statistics.gov.scot/id/education/establishment-group/1,National,64,66,67,67,69,70,68
http://statistics.gov.scot/id/education/establishment/8431930,All Saints Secondary School,53,43,34,52,60,51,68
http://statistics.gov.scot/id/education/establishment/5307430,Carnoustie High School,61,66,73,64,55,67,68
http://statistics.gov.scot/id/education/establishment/8314136,Clydebank High School,59,58,50,54,71,65,68
